water_flux_ms,vapor_flux_ms
1.380010242858524e-07,-6.98857171486301e-08
5.088619986626016e-07,-6.299344074227396e-08
8.443276474663328e-07,-5.1280029484978044e-08
9.310980641782447e-07,-4.7138599033708984e-08
7.70342350700358e-07,-5.286102704745585e-08
5.593048509000862e-07,-5.94914439887529e-08
4.6200054033647503e-07,-5.681000765233836e-08
4.473783237797432e-07,-4.4240304311484735e-08
3.7295802448231e-07,-3.172115170393939e-08
1.6443519316708727e-07,-2.974534174813776e-08
-9.102338651314507e-08,-3.8662066148296874e-08
-2.172310470955665e-07,-4.807766730106085e-08
-1.3909114089582103e-07,-4.705263321325357e-08
3.3495081539603285e-08,-3.4942709980619195e-08
1.2227495386821572e-07,-2.2040242699984933e-08
3.264767958966882e-08,-1.934222303115733e-08
-1.9693164041164448e-07,-2.7635980932552193e-08
-4.5538956981547e-07,-3.6783042404215464e-08
-6.484387506119434e-07,-3.5039374895090864e-08
-7.251077233150559e-07,-1.7903921137976278e-08
-6.767489014816553e-07,1.0557029986458102e-08
-5.422054283723116e-07,4.168277569714003e-08
-3.6787490141972056e-07,6.785815394799983e-08
-1.7845591227518104e-07,8.688852832126008e-08
-1.4179077173618412e-08,9.942150443147651e-08
5.986940533235323e-08,1.0129287863999766e-07
4.589073290813209e-09,8.364090846477862e-08
-1.4679032062279442e-07,4.3263686668230865e-08
-2.7756441897403383e-07,-9.439524284390327e-09
-2.5635083825482956e-07,-5.410944065742131e-08
-6.458404982320142e-08,-7.340034183525322e-08
1.7503415330290502e-07,-6.545203844219256e-08
3.2663376461990445e-07,-4.400880715276125e-08
3.8208179518459695e-07,-2.452217615440464e-08
4.410382702302901e-07,-1.2007631330640369e-08
5.516422692826009e-07,-2.7834471967004844e-09
6.457135350600867e-07,7.604857300255577e-09
6.44171168685126e-07,2.0386193634992417e-08
5.352925772886249e-07,3.388865255839771e-08
3.5202365859907515e-07,4.53987510278959e-08
1.5682817833718734e-07,5.296192293269602e-08
2.1292208384651515e-08,5.647249966108906e-08
-3.210554654530527e-08,5.727031038080718e-08
-3.588559406992508e-08,5.552011707211153e-08
-3.3047207719582396e-08,4.726412260138703e-08
-4.019572013041738e-08,2.6806748901203777e-08
-6.542580937793069e-09,-4.847669281683082e-09
1.5763181193007748e-07,-3.649435836533718e-08
4.4871200350342526e-07,-5.535888122828247e-08
7.20401413482238e-07,-5.867446513684873e-08
8.038971831875174e-07,-5.453970984498669e-08
6.52556059289263e-07,-5.104212457297598e-08
4.0156058263928986e-07,-4.7860081870807636e-08
2.834616098176606e-07,-3.9567367417990326e-08
4.1305072218339357e-07,-2.3680655916246707e-08
6.702807960830938e-07,-5.6412806736352905e-09
8.270744735029267e-07,3.6798820639759544e-09
7.556022104059391e-07,-1.3238020689517372e-09
5.334310807155567e-07,-1.412591804947999e-08
3.749464529278083e-07,-2.247935325395092e-08
4.300881692672676e-07,-1.974968072230287e-08
6.447959799465902e-07,-9.510043320884869e-09
8.229717837775069e-07,1.3423408361567355e-11
8.055815378138834e-07,4.900695269177909e-09
5.826138137239159e-07,7.276769016421732e-09
2.509344568470214e-07,1.059597571924436e-08
-9.101700736359434e-08,1.6283073419362946e-08
-3.8659081003192514e-07,2.3538894838015176e-08
